dish_name,description,ingredients_json,steps_json,prep_time_min,cook_time_min,servings,difficulty,cuisine_type,meal_type,tags,mood,weather_suggestion,time_suggestion
Jollof Rice,"Classic West African rice dish cooked in a flavorful tomato and pepper sauce.","[{""name"": ""Long-grain parboiled rice"", ""qty"": ""2"", ""unit"": ""cups"", ""note"": ""rinsed""}, {""name"": ""Plum tomatoes"", ""qty"": ""4"", ""unit"": ""large"", ""note"": ""roughly chopped""}, {""name"": ""Red bell pepper"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""deseeded and chopped""}, {""name"": ""Scotch bonnet pepper"", ""qty"": ""1"", ""unit"": """", ""note"": ""to taste, optional""}, {""name"": ""Onion"", ""qty"": ""1.5"", ""unit"": ""large"", ""note"": ""one chopped, half sliced""}, {""name"": ""Vegetable oil"", ""qty"": ""0.33"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Tomato paste"", ""qty"": ""2"", ""unit"": ""tbsp"", ""note"": """"}, {""name"": ""Chicken or vegetable stock"", ""qty"": ""2.5"", ""unit"": ""cups"", ""note"": ""hot""}, {""name"": ""Curry powder"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": """"}, {""name"": ""Dried thyme"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": """"}]","[""Blend the tomatoes, red bell pepper, scotch bonnet, and the chopped onion into a smooth puree."", ""In a large pot, heat vegetable oil and sauté the sliced onions until fragrant."", ""Stir in the tomato paste and fry for 5 minutes, stirring constantly to prevent burning."", ""Pour in the blended pepper mix and cook for about 15-20 minutes until the sauce has reduced and thickened."", ""Add the curry powder, dried thyme, and other desired seasonings. Stir well."", ""Add the rinsed rice to the pot and stir until all the grains are coated with the sauce."", ""Pour in the hot stock, cover the pot tightly with a lid, and cook on low heat for 30 minutes."", ""Fluff the rice with a fork and serve hot with fried plantain or chicken.""]",20,50,6,Medium,Nigerian,Dinner,"spicy,one-pot,celebratory",celebratory,any,evening
Bobotie,"A sweet and savory South African dish of curried minced meat with a creamy topping.","[{""name"": ""Ground beef"", ""qty"": ""1"", ""unit"": ""kg"", ""note"": """"}, {""name"": ""Onion"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""chopped""}, {""name"": ""Milk"", ""qty"": ""1.5"", ""unit"": ""cups"", ""note"": """"}, {""name"": ""White bread"", ""qty"": ""2"", ""unit"": ""slices"", ""note"": ""crusts removed""}, {""name"": ""Apricot jam"", ""qty"": ""3"", ""unit"": ""tbsp"", ""note"": """"}, {""name"": ""Curry powder"", ""qty"": ""2"", ""unit"": ""tbsp"", ""note"": ""medium""}, {""name"": ""Turmeric"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": """"}, {""name"": ""Eggs"", ""qty"": ""3"", ""unit"": """", ""note"": ""beaten""}, {""name"": ""Bay leaves"", ""qty"": ""2"", ""unit"": """", ""note"": """"}, {""name"": ""Almonds"", ""qty"": ""0.25"", ""unit"": ""cup"", ""note"": ""flaked""}]","[""Preheat oven to 180°C (350°F). Soak the bread in half of the milk."", ""In a pan, sauté the chopped onion until soft. Add the ground beef and brown it."", ""Squeeze the milk from the bread (reserve the milk) and add the bread to the meat mixture."", ""Stir in the curry powder, turmeric, apricot jam, and almonds. Season with salt and pepper."", ""Transfer the meat mixture to an ovenproof dish."", ""Beat the eggs with the remaining milk (including the reserved milk from the bread)."", ""Pour the egg mixture over the meat. Top with bay leaves."", ""Bake for 30-40 minutes until the topping is golden brown and set.""]",25,45,6,Medium,South african,Dinner,"savory,sweet,baked",cozy,cold,evening
Chicken Tagine,"A classic Moroccan slow-cooked stew with tender chicken, sweet apricots, and fragrant spices.","[{""name"": ""Chicken thighs"", ""qty"": ""8"", ""unit"": """", ""note"": ""bone-in, skin-on""}, {""name"": ""Onion"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""grated""}, {""name"": ""Garlic"", ""qty"": ""3"", ""unit"": ""cloves"", ""note"": ""minced""}, {""name"": ""Ginger"", ""qty"": ""1"", ""unit"": ""inch"", ""note"": ""grated""}, {""name"": ""Ground cumin"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": """"}, {""name"": ""Ground coriander"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": """"}, {""name"": ""Turmeric"", ""qty"": ""0.5"", ""unit"": ""tsp"", ""note"": """"}, {""name"": ""Cinnamon stick"", ""qty"": ""1"", ""unit"": """", ""note"": """"}, {""name"": ""Dried apricots"", ""qty"": ""1"", ""unit"": ""cup"", ""note"": ""halved""}, {""name"": ""Blanched almonds"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": ""toasted""}]","[""Season the chicken with salt and pepper. In a tagine or Dutch oven, brown the chicken on all sides."", ""Remove the chicken and set aside. Add the grated onion to the pot and cook until soft."", ""Add the garlic, ginger, cumin, coriander, and turmeric. Cook for 1 minute until fragrant."", ""Return the chicken to the pot. Add the cinnamon stick and enough water or stock to partially cover the chicken."", ""Bring to a simmer, then reduce the heat to low, cover, and cook for 45-50 minutes until the chicken is tender."", ""Stir in the dried apricots and cook for another 10 minutes."", ""Garnish with toasted almonds and fresh cilantro before serving."", ""Serve hot with couscous or crusty bread.""]",20,60,4,Medium,Moroccan,Dinner,"sweet,savory,stew",warm,cold,evening
Doro Wat,"A rich and spicy Ethiopian chicken stew, considered the national dish of Ethiopia.","[{""name"": ""Chicken pieces"", ""qty"": ""1"", ""unit"": ""kg"", ""note"": ""bone-in""}, {""name"": ""Red onions"", ""qty"": ""4"", ""unit"": ""large"", ""note"": ""finely chopped""}, {""name"": ""Niter kibbeh"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": ""Ethiopian spiced butter""}, {""name"": ""Berbere spice blend"", ""qty"": ""0.33"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Garlic"", ""qty"": ""4"", ""unit"": ""cloves"", ""note"": ""minced""}, {""name"": ""Ginger"", ""qty"": ""1"", ""unit"": ""inch"", ""note"": ""grated""}, {""name"": ""Hard-boiled eggs"", ""qty"": ""4"", ""unit"": """", ""note"": ""peeled""}, {""name"": ""Water"", ""qty"": ""1"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Tej (honey wine)"", ""qty"": ""2"", ""unit"": ""tbsp"", ""note"": ""optional""}]","[""In a large, dry pot, cook the chopped onions over medium heat for 10-15 minutes, stirring frequently, until they release their moisture and reduce."", ""Add the niter kibbeh and cook until the onions are deeply caramelized and soft."", ""Stir in the berbere spice blend and cook for 5 minutes, adding a little water if it becomes too dry."", ""Add the garlic and ginger, cooking for another 2 minutes until fragrant."", ""Add the chicken pieces to the pot and stir to coat them completely with the spice paste."", ""Pour in the water and tej (if using). Bring to a simmer, then reduce heat, cover, and cook for 45-50 minutes, until the chicken is cooked through."", ""Gently place the hard-boiled eggs into the stew and simmer for a final 5-10 minutes."", ""Serve hot with injera (Ethiopian flatbread).""]",15,90,4,Hard,Ethiopian,Dinner,"spicy,rich,traditional",celebratory,rainy,evening
Thieboudienne,"The national dish of Senegal, a flavorful combination of fish, rice, and tomato-vegetable sauce.","[{""name"": ""White fish fillets"", ""qty"": ""700"", ""unit"": ""g"", ""note"": ""e.g., tilapia or snapper""}, {""name"": ""Broken jasmine rice"", ""qty"": ""2"", ""unit"": ""cups"", ""note"": """"}, {""name"": ""Tomato paste"", ""qty"": ""1"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Onion"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""chopped""}, {""name"": ""Carrots"", ""qty"": ""2"", ""unit"": """", ""note"": ""peeled and chunked""}, {""name"": ""Cassava"", ""qty"": ""1"", ""unit"": ""small piece"", ""note"": ""peeled and chunked""}, {""name"": ""Cabbage"", ""qty"": ""0.25"", ""unit"": ""head"", ""note"": ""cut into wedges""}, {""name"": ""Parsley"", ""qty"": ""0.5"", ""unit"": ""bunch"", ""note"": ""for stuffing""}, {""name"": ""Garlic"", ""qty"": ""4"", ""unit"": ""cloves"", ""note"": ""for stuffing""}, {""name"": ""Peanut oil"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": """"}]","[""Make a stuffing (Rof) by blending parsley, garlic, and chili with salt. Make incisions in the fish and stuff it with the Rof."", ""In a large pot, heat the oil and fry the stuffed fish until golden. Set the fish aside."", ""In the same oil, fry the chopped onion, then add the tomato paste and cook for 10 minutes."", ""Add about 6 cups of water and bring to a boil. Add the vegetables (carrots, cassava, cabbage) and cook until tender."", ""Remove the vegetables and set them aside with the fish. Season the broth with salt and pepper."", ""Add the rice to the broth, ensuring it's submerged. Cover and cook on low heat until the rice has absorbed the liquid and is cooked."", ""Steam the rice for another 10-15 minutes until fluffy."", ""Serve the rice on a large platter, topped with the fish and cooked vegetables.""]",30,80,6,Hard,Senegalese,Lunch,"one-pot,seafood,savory",relaxed,sunny,afternoon
Ewa Agoyin,"A popular Nigerian street food of mashed beans served with a spicy, dark palm oil sauce.","[{""name"": ""Black-eyed peas or honey beans"", ""qty"": ""2"", ""unit"": ""cups"", ""note"": ""soaked overnight""}, {""name"": ""Palm oil"", ""qty"": ""1"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Dried bell peppers (tatashe)"", ""qty"": ""8"", ""unit"": """", ""note"": ""soaked and deseeded""}, {""name"": ""Dried red chilies"", ""qty"": ""10"", ""unit"": """", ""note"": ""soaked""}, {""name"": ""Onions"", ""qty"": ""2"", ""unit"": ""large"", ""note"": ""one for beans, one for sauce""}, {""name"": ""Crayfish"", ""qty"": ""0.25"", ""unit"": ""cup"", ""note"": ""ground""}, {""name"": ""Salt"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": ""to taste""}]","[""Boil the soaked beans with one chopped onion and plenty of water until they are very soft and mushy. Add salt to taste."", ""Mash the beans to a soft paste, or blend briefly for a smoother consistency. Set aside and keep warm."", ""For the sauce, blend the soaked dried peppers and chilies with the other onion to a coarse paste."", ""In a separate pot, heat the palm oil until it is very hot and clarified. Be careful as it will smoke."", ""Allow the oil to cool slightly, then add the blended pepper mix. Fry on low to medium heat, stirring continuously."", ""Continue frying the sauce for at least 20-30 minutes until it darkens significantly and the oil separates."", ""Stir in the ground crayfish and salt. Cook for another 5 minutes."", ""Serve the mashed beans with a generous amount of the spicy Agoyin sauce on top, often with soft bread.""]",15,70,4,Medium,Nigerian,Breakfast,"spicy,street food,vegan",energetic,any,morning
Suya,"Spicy skewered meat, a popular street food in Nigeria and other parts of West Africa.","[{""name"": ""Beef sirloin"", ""qty"": ""700"", ""unit"": ""g"", ""note"": ""thinly sliced""}, {""name"": ""Yaji (suya spice)"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Peanut oil"", ""qty"": ""3"", ""unit"": ""tbsp"", ""note"": """"}, {""name"": ""Onion"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""for serving""}, {""name"": ""Tomato"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""for serving""}, {""name"": ""Salt"", ""qty"": ""1"", ""unit"": ""tsp"", ""note"": """"}, {""name"": ""Bamboo skewers"", ""qty"": ""10"", ""unit"": """", ""note"": ""soaked in water""}]","[""In a large bowl, combine the beef slices with the peanut oil and salt, mixing well."", ""Generously coat each slice of beef in the yaji spice blend, ensuring it's completely covered."", ""Thread the seasoned beef onto the soaked bamboo skewers."", ""Preheat a grill or barbecue to medium-high heat."", ""Grill the suya skewers for 10-15 minutes, turning occasionally, until cooked through and slightly charred."", ""Remove from the grill and let them rest for a few minutes."", ""Serve the suya hot with sliced onions, tomatoes, and extra yaji spice for dipping."", ""Optionally, wrap in newspaper or foil for an authentic street food presentation.""]",20,15,4,Easy,Nigerian,Snack,"spicy,grilled,street food",excited,sunny,evening
Fufu,"A staple food in West and Central Africa, a soft and doughy swallow made from starchy vegetables.","[{""name"": ""Yam, cassava, or plantain flour"", ""qty"": ""2"", ""unit"": ""cups"", ""note"": """"}, {""name"": ""Water"", ""qty"": ""4"", ""unit"": ""cups"", ""note"": ""divided""}, {""name"": ""Salt"", ""qty"": ""0.5"", ""unit"": ""tsp"", ""note"": ""optional""}]","[""In a pot, mix the fufu flour with 2 cups of cold water to form a smooth, lump-free paste."", ""Place the pot on medium heat and begin to stir continuously with a wooden spoon or spatula."", ""As it heats, the mixture will start to thicken. Gradually add the remaining 2 cups of water while still stirring vigorously."", ""Continue to stir and 'turn' the dough against the side of the pot to break up any lumps and cook the flour."", ""The fufu is ready when it becomes thick, smooth, and pulls away from the sides of the pot (about 10-15 minutes)."", ""Wet your hands with water to prevent sticking and shape the fufu into smooth balls."", ""Serve immediately with a soup or stew of your choice, like Egusi or Light Soup."", ""To eat, pinch off a small piece with your fingers, indent it, and use it to scoop up the soup.""]",5,15,4,Easy,Nigerian,Lunch,"staple,traditional,gluten-free",cozy,any,afternoon
Egusi Soup,"A rich and savory Nigerian soup made with ground melon seeds, leafy greens, and meat or fish.","[{""name"": ""Ground egusi (melon seeds)"", ""qty"": ""1.5"", ""unit"": ""cups"", ""note"": """"}, {""name"": ""Beef or assorted meats"", ""qty"": ""500"", ""unit"": ""g"", ""note"": ""cubed""}, {""name"": ""Smoked fish"", ""qty"": ""1"", ""unit"": ""medium"", ""note"": ""cleaned""}, {""name"": ""Palm oil"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": """"}, {""name"": ""Spinach or ugwu leaves"", ""qty"": ""1"", ""unit"": ""bunch"", ""note"": ""chopped""}, {""name"": ""Red bell pepper"", ""qty"": ""1"", ""unit"": """", ""note"": ""blended""}, {""name"": ""Onion"", ""qty"": ""1"", ""unit"": ""large"", ""note"": ""chopped""}, {""name"": ""Crayfish"", ""qty"": ""0.25"", ""unit"": ""cup"", ""note"": ""ground""}, {""name"": ""Stock cubes"", ""qty"": ""2"", ""unit"": """", ""note"": """"}, {""name"": ""Water or stock"", ""qty"": ""3"", ""unit"": ""cups"", ""note"": """"}]","[""Boil the beef with chopped onion and stock cubes until tender. Set aside, reserving the stock."", ""Make a thick paste with the ground egusi and a little water. Heat palm oil in a separate pot and fry the egusi paste in clumps until golden."", ""Pour in the blended pepper and cook for 5 minutes."", ""Add the beef stock, cooked beef, smoked fish, and ground crayfish. Stir gently and bring to a simmer."", ""Cover and cook for 20 minutes, allowing the flavors to meld and the egusi to cook through."", ""Add the chopped spinach or ugwu leaves and stir until just wilted, about 3-5 minutes."", ""Season with salt to taste. Do not over-stir after adding the vegetables."", ""Serve hot with fufu, pounded yam, or eba.""]",20,60,6,Medium,Nigerian,Dinner,"hearty,savory,traditional",cozy,rainy,evening
Kachumbari,"A refreshing East African salad made with fresh tomatoes, onions, cilantro, and chili peppers.","[{""name"": ""Tomatoes"", ""qty"": ""4"", ""unit"": ""large"", ""note"": ""finely diced""}, {""name"": ""Red onion"", ""qty"": ""1"", ""unit"": ""medium"", ""note"": ""thinly sliced""}, {""name"": ""Cilantro (coriander)"", ""qty"": ""0.5"", ""unit"": ""cup"", ""note"": ""chopped""}, {""name"": ""Green chili pepper"", ""qty"": ""1"", ""unit"": """", ""note"": ""minced, optional""}, {""name"": ""Lime or lemon juice"", ""qty"": ""2"", ""unit"": ""tbsp"", ""note"": ""freshly squeezed""}, {""name"": ""Salt"", ""qty"": ""0.5"", ""unit"": ""tsp"", ""note"": ""to taste""}, {""name"": ""Avocado"", ""qty"": ""1"", ""unit"": """", ""note"": ""diced, optional""}]","[""To reduce the sharpness of the onion, soak the thin slices in a bowl of cold water for 10 minutes, then drain thoroughly."", ""In a medium bowl, combine the diced tomatoes, drained onion slices, and chopped cilantro."", ""Add the minced chili pepper if you desire some heat."", ""Drizzle the fresh lime or lemon juice over the mixture."", ""Season with salt and gently toss everything together until well combined."", ""If using, gently fold in the diced avocado just before serving to prevent it from browning."", ""Let the kachumbari sit for about 10 minutes for the flavors to meld."", ""Serve as a side dish with grilled meats (nyama choma), rice, or stews.""]",15,10,4,Easy,Kenyan,Lunch,"fresh,salad,side dish",energetic,sunny,afternoon
